N, vanilla-row-major, vanilla-column-major, unrolled-row-major-2, unrolled-row-major-4, unrolled-row-major-8, unrolled-row-major-16, vanilla-row-major-vec, vanilla-column-major-vec, unrolled-row-major-4-vec, unrolled-row-major-8-vec
48, 1.46516, 2.76142, 2.43185, 2.6149, 2.55579, 2.3753, 2.81414, 5.4238, 4.2153, 5.0285
96, 1.1401, 2.67964, 1.9761, 2.50802, 2.51948, 2.36729, 2.29119, 4.13185, 3.56351, 3.83964
192, 0.928037, 2.60467, 1.73555, 2.52685, 2.51862, 2.37419, 2.13421, 3.96341, 3.43615, 3.89521
384, 0.762276, 2.33041, 1.3846, 2.35957, 2.29628, 2.26824, 1.59101, 3.82782, 2.87442, 3.39981
768, 0.706056, 2.13423, 1.36935, 2.21481, 2.18138, 2.05623, 1.4441, 3.09871, 2.62702, 2.99146
1536, 0.667114, 1.76018, 1.2814, 1.96154, 1.95136, 1.89335, 1.33746, 2.66607, 2.35456, 2.61451
3072, 0.653579, 1.88129, 1.25302, 1.79307, 1.73732, 1.7585, 1.29456, 2.40081, 2.10909, 2.26034
6144, 0.647428, 1.87597, 1.22757, 1.70726, 1.66094, 1.68618, 1.29058, 2.52885, 2.05452, 2.09243
12288, 0.64895, 1.8571, 1.23358, 1.71119, 1.6676, 1.67356, 1.2747, 2.5354, 2.05361, 2.09723
24576, 0.644574, 1.88944, 1.233, 1.72329, 1.67209, 1.69296, 1.27741, 2.53693, 2.06483, 2.10619
